0;faculty;mimeversion server cern date monday 06jan97 gmt contenttype text html contentlength lastmodified thursday gmt assistant professor computer sciences university texas austin director distributed multimedia computing laboratory education tech computer science engineering indian institute technology computer science state university computer science university california san diego honors awards professional service nsf career award ibm faculty development award nsf research award san diego center computing award award board ieee multimedia area distributed multimedia systems international conference distributed computing systems program committee multimedia computing networking program committee multimedia computing networking member program committee acm electronic imaging multimedia systems china november international conference networking multimedia taiwan december 4th workshop multimedia germany acm international conference distributed multimedia systems applications international symposium multimedia systems areas interest multimedia systems networking databases mobile computing distributed systems summary research main objective research design implement system architecture wide range distributed multimedia applications specifically developing integrated multimedia file system algorithms protocols efficient digital audio video networks multimedia databases selected recent publications efficient failure recovery multimedia servers proceedings annual international symposium fault computing california pages june multimedia storage servers tutorial ieee computer vol pages multimedia objects disk arrays proceedings ieee international conference multimedia computing systems washington pages delay bounds heterogeneous networks proceedings international workshop network operating system support digital audio video april algorithms designing multimedia servers computer communications vol pages march research work sponsored industrial federal including ibm intel national science foundation research award nsf career award nasa research laboratory sun systems university texas austin courses advanced operating systems multimedia systems multimedia communication databases contact information email utexas phone fax mailing address department computer sciences taylor hall university texas austin austin usa
1;faculty;mimeversion server cern date monday 06jan97 gmt contenttype text html contentlength lastmodified wednesday gmt don software generation key improved programmer maintenance application performance students ways practical design technologies large scale software system synthesis topics software architectures design patterns extensible languages domain modeling programming objectoriented programming domains current interest database management data structures current research building programming language support software generation goal project build extensible java language extensions research funding microsoft research university texas applied research laboratories publications projects students software contact information office taylor hall email address utexas phone numbers office fax address university texas austin department computer sciences tay austin
7;faculty;mimeversion server cern date monday 06jan97 gmt contenttype text html contentlength lastmodified wednesday gmt home page robert stephen professor computer sciences mathematics philosophy departments university texas austin reach paper mail bob computer sciences dept univ texas austin usa email utexas fax physical classes curriculum personal data education publications honors jobs graduated students photo recommended reading project web project views undergraduate education computer science john web page building times article algebra result technical details verification point division algorithm software policy gnu public close administrative overhead short works property great books universities standard web pages representing official position university texas austin part government state texas peter web page computer government formal methods call symbolic logic instance wrote lecture notes teaching time students approach mathematics pass found setting university fundamental science fundamental science university shared robert richard rice university discovery bound shape article scientists funding press december daily university texas austin computer sciences department
17;faculty;mimeversion server cern date monday 06jan97 gmt contenttype text html contentlength lastmodified friday gmt allen professor computer sciences department taylor hall university texas austin austin texas usa email utexas fax phone direct areas research interest formal methods computer verification temporal logic automata objects concurrent distributed systems selected recent publications temporal reasoning journal realtime systems vol efficient temporal journal logic computation vol realtime realtime theory practice eds york springerverlag lecture notes computer science tree automata annual ieee symposium foundations computing san oct temporal logic theoretical computer science van mit press cambridge
21;faculty;mimeversion server cern date monday 06jan97 gmt contenttype text html contentlength lastmodified tuesday gmt support free speech internet associate professor computer sciences university texas austin director artificial intelligence laboratory honors university texas austin computer science computer science research automatic programming generic algorithms solving physics problems artificial intelligence curriculum publications employment professional activities honors curriculum free software expert system shell interface gnu common lisp units measurement software demos construction automatic programming server create programs lisp demo write programs physics unit demo units measurement demo solve physics problems english lisp server run interactive lisp lisp demo interactive graphics lisp interactive drawing graphics lisp classes computer science scheme compilers artificial intelligence automatic programming web links weather addresses computer sciences tay univ texas austin austin texas usa office office fax utexas
25;faculty;mimeversion server cern date monday 06jan97 gmt contenttype text html contentlength lastmodified tuesday gmt raymond homepage raymond mooney associate professor computer sciences university texas austin computer engineering university illinois computer science university illinois computer science university illinois research interests current research interests artificial intelligence primarily area machine learning include natural language acquisition learning information extraction word sense examples inductive logic programming learning prolog programs examples theory refinement automatically rule networks fit empirical data acquisition learning improve planning efficiency quality combining symbolic learning information publications machine learning home page finger information information fall lisp symbolic programming machine learning spring artificial intelligence personal history small illinois starting starting fall university illinois obtain degrees listed december completed thesis learning group direction prof position department computer sciences university texas austin contact information office taylor hall email address mooney utexas fax address department computer sciences university texas austin austin texas home address austin texas
29;faculty;mimeversion server cern date tuesday 07jan97 gmt contenttype text html contentlength lastmodified wednesday gmt senior lecturer state university areas interest networks parallel processing computer architecture summary research research computer architecture networks failure parallel computing systems ability cost performance structures recent work involves development scale optical special kind guide designed technique fault parallel systems optical applied optical systems optical communication work performance processor systems methodology processor performance machines developed true measurement processor memory system selected recent publications networks strategies properties applications ieee transactions computers vol june scheme fault ieee transactions computers press methodology computer system performance measurement proceedings international conference computer applications industry engineering december johnson fault impact fault multiprocessor networks journal quality engineering vol october scale optical bus prototype proceedings international conference scale integration january additional information obtained individual faculty members home pages back list faculty
51;faculty;date thu nov gmt server ncsa lastmodified jun gmt contenttype text html contentlength areas research interest communication networks design computer graphics objectoriented visual interfaces programming methods programming languages objectoriented databases information systems objectoriented distributed systems networks fault operating systems distributed objectoriented parallel computing computer systems realtime computing systems scheduling languages operating systems research group systems software research group administrative digital computer laboratory west avenue fax back faculty index
55;faculty;date tue nov gmt server apache contenttype text html contentlength lastmodified thu dec gmt assistant professor education university italy phd harvard university research areas parallel programming languages compilers parallel architectures webmaster university oregon department computer information science
96;faculty;date thu nov gmt server ncsa contenttype text html douglas assistant professor department computer science school engineering applied science washington university hall room campus box drive tel fax assistant professor institute washington university school electronic laboratory south box tel fax recent papers tutorials systems research overview online publications online courses tutorials list events network programming toolkit design patterns report magazine curriculum resume www usage netscape updated mosaic simple home page visitor nov cmu modified cst november
